Tweet,Target,Stance
"@ThePimpernelX @Cameron_Gray @CalebHowe  Totally agree ...time to get out of the Twitter Peanut Gallery and take ""arms #SemST",Donald Trump,2
@JeffYoung @ThePatriot143 I fully support full repeal. I will work for candidates who I believe will make it happen! #SemST,Donald Trump,2
"@ABC Stupid is as stupid does! Showedhis true colors; seems that he ignores that US was invaded, & plundered,not discovered #SemST",Donald Trump,0
@HouseGOP we now have one political party. The Socialist party. No more BS. We don't believe you anymore. #SemST,Donald Trump,2
Donald Trump isn't afraid to roast everyone. #SemST,Donald Trump,1
Donald Trump for president? I can dig it.  #SemST,Donald Trump,1
nothing about obamacare changed today what changed is the total exposure of anti-constitutional terrorism at the supremecourt #SemST,Donald Trump,2
"I have one friend, he said he has more accountants than he has nurses. #SemST",Donald Trump,2
After today SCOTUS has passed more legislation than congress. #tcot #SemST,Donald Trump,2
@USAlivestrong @scottscameron @ljmljm55 @blondygirl1 @eavesdropann @autumkat @texasflutegal 100% Support #Trump.. #SemST,Donald Trump,1
@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots! #SemST,Donald Trump,2
"Considering the fact that Bush was a president of this country, I don't see it a joke that Trump is running ! #Election2016 #SemST",Donald Trump,1
"Honestly I am gonna watch #Univision so much more now, just to support the network against #SemST",Donald Trump,2
"@CarmineZozzora Or a supreme court who now re-writes laws from the bench. They have done calisthenics to save o-care, TWICE! #SemST",Donald Trump,2
BretBaier ShannonBream remind Obama that the 2nd Amendment is here to stay as well! #TCOT #MOLONLABE #2A #SemST,Donald Trump,2
@realDonaldTrump  I like Mexicans who come to US legally.  #IStandWithTrump #SemST,Donald Trump,1
We need Obama out and @realDonaldTrump in the White House ASAP #SemST,Donald Trump,1
RT @Tone_Rowdy: How can this country move on from its racist past when it's leaders won't... #OurLivesMatter #SemST,Donald Trump,2
Dear @realDonaldTrump: You are an idiot. #america #politics #sticktoyourhair #SemST,Donald Trump,0
@alexisgoldstein @alexfrangos #BusinessMatters @BBCWorldBiz @bbcworldservice midnight gmt #Grexit #Obamacare #ironmaiden #SemST,Donald Trump,2
Donald Trump inhaled so much air spray & started to believe he is the title holder for the United States. #SemST,Donald Trump,0
The Leftist Liberals are starting an internal war within America. #SemST,Donald Trump,2
.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired #SemST,Donald Trump,0
"For those that are not aware, there is a difference between corporate and personal bankruptcy. Look of Chapter 11 bankruptcy. #SemST",Donald Trump,2
@peddoc63 @realDonaldTrump So I guess Univision is Fair & Balanced. These are the people that R helping shape USA! #SemST,Donald Trump,0
"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump #SemST",Donald Trump,1
@Rebeksy well that's just crazy! Why work? #howdidwegethere #shameful #SemST,Donald Trump,2
"@realDonaldTrump you know that middle class is Latino's, right? You just shitted all over that working class you claim to need. #SemST",Donald Trump,0
I am not sure who is coming from other countries but I will assume they must be bad cause I am rich. #SemST,Donald Trump,2
"@BlissTabitha No, stand up for America, fiscal responsibility, strong defense, less transfer of wealth, less government. #SemST",Donald Trump,2
RT @AhmedtheBanker: Let's not forget @realDonaldTrump lost money running a casino. #SemST,Donald Trump,0
The media gathered the public like sheep over the rebel flag debate the government passed the fast track authority google it #SemST,Donald Trump,2
"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse #SemST",Donald Trump,0
"Beheading attack at company in France is terrorism,but beheading and attack at company in OK is work place violence. #tcot #SemST",Donald Trump,2
"Hosea 4:8  They eat up the sin of my people, and they set their heart on their iniquity.  #pastors #Christians  #repent #SemST",Donald Trump,2
Isis celebrates Islam with 3 terror attacks overseas. BO wants 2 disarm Americans so Isis can mow us down at will. #tcot #SemST,Donald Trump,2
@kilmeade @briankilmeade Obviously military industrial complex has an interest in sustained conflict War=sales #Libertarian #SemST,Donald Trump,2
@Scotus creates another right in the Constitution. WE ARE LIVING UNDER TYRANNY. THE WILL OF THE PEOPLE IS NO LONGER! #SemST,Donald Trump,2
"#SCOTUS rules they can rule anything they damn well please, regardless of We The People. Welcome to #tyranny.   #USA #SemST",Donald Trump,2
I don't even recognize America anymore. #scary #SemST,Donald Trump,2
Sad day America...what is going on? #LNYHBT #SemST,Donald Trump,2
The country's fucked but we can marry!! Woo hoo! #SemST,Donald Trump,2
This Fight Isn't OVER! #Obamacare Is Obviously Broken & It Increases Health Care Costs For Millions Of Americans. #SCOTUScare #SemST,Donald Trump,2
There is a fine line between right and damnation  and in my opinion the US is going down the wrong damn road #votethemallout #SemST,Donald Trump,2
"@AC360 @barbarastarrcnn Erasing history will not cure the hatred heart, it only takes one person to stir the fires #CCOT #SemST",Donald Trump,2
It's #FF and I need more videogame & political followers -- please no eggs or communists :-). Everyone else I'll followback!  #SemST,Donald Trump,2
@BlissTabitha What to hell is going on! Really scary.. Nothing sacred anymore! #SemST,Donald Trump,2
"obviously, the decision was made on june 26th because it's the closest they could get to 6/66 within the month of june, #tcot #SemST",Donald Trump,2
"I know this is super dorky, but I REALLY hope I get my acct back in time for #CashinIn tom.   @ProfessorF @JonathanHoenig   #SemST",Donald Trump,2
I'm offended @HillaryClinton is Not in Prison & I'm offended  hasn't started 2 #ImpeachObama Now @BarackObama  #SemST,Donald Trump,2
Trump for prez he couldn't do any worse so give him a shot #SemST,Donald Trump,1
@toddstarnes Marriage is designed and defined by God. No mortal man can change it. Praying for our country  #ccot #PJNET #SemST,Donald Trump,2
