Tweet,Target,Stance
@JDSon78 @AndrewBroering AndrewWhyDoYouCareAboutWhatIThink? I DidNotRealizeThatIWasThisImportant. SirTweet AndrewIsAPaidTroll #SemST,Hillary Clinton,0
The white male vote is solidly GOP. The black vote is solidly DEM.  That leaves white females and brown ppl. #FeelTheBern #SemST,Hillary Clinton,0
"@nyinvesting big banker buds need to ratchet up their ""Hillary cares about the little people"" propaganda  #SemST",Hillary Clinton,0
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot #SemST,Hillary Clinton,0
"@RushetteNY @TwitchyTeam Hillary to press: ""Curtsy while you're thinking what to say, it saves time"" #throughthelookingglass  #SemST",Hillary Clinton,0
@GovtsTheProblem This is what I see: Make way 4 ur queen peasants! Don'ttouch or talk 2 her U filth! #NoHillary2016 #Benghazi  #SemST,Hillary Clinton,0
@CNNSotu @jaketapper - Can we get back to the issues? That's what #Bernie2016 wants to talk about. Not about #SemST,Hillary Clinton,0
@nytimes But throws a rope around reporters and free speech.  #HillaryInNH #SemST,Hillary Clinton,0
"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica #SemST",Hillary Clinton,0
@BeladonnaRogers @Chairmnoomowmow The compliant media allowed themeselves to b herded by a couple of strands of rope? Good sheep! #SemST,Hillary Clinton,0
The #HillaryCampaignSong Top 20 will be revealed (and voting will resume) Monday morning at 10am PT! #SemST,Hillary Clinton,0
@HillaryforNH will u rope off the people too Hillary swine?  #uppers #uniteblue #SemST,Hillary Clinton,0
.@mite72 @PatVPeters NEITHER ONE!!!! Just making a funny! #SemST,Hillary Clinton,0
"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary #SemST",Hillary Clinton,0
"@WoodenThreat @incessantpatrio @bcwilliams92 that was fun, but it wont be if we have another FAKE #POTUS #WhyImNotVotingForHillary #SemST",Hillary Clinton,0
Does #hillaryclinton lie and engage in cover-ups to do damage to the country or does she do it out of habit?  #tcot #uniteblue #SemST,Hillary Clinton,0
I find allowing the deaths of Americans in Benghazi to be more offensive than the name Redskins. #Benghazi #redskins #SemST,Hillary Clinton,0
"@Conservativeind @cannoneerfour Lets hope!  She's a killer, liar and a coward! #WakeUpAmerica #MakeAmericaGreatAgain #SemST",Hillary Clinton,0
"@DaGodfather907 @NahBabyNah If Jebb is our candidate, we will hand Hillary the keys to 1600?Penn Ave. #WakeUpAmerica #SemST",Hillary Clinton,0
The ropes might keep people back now Hillary but You WILL answer to americans come debate time you coward. #tcot #RedNationRising #SemST,Hillary Clinton,0
"RT @harrisongolden: ""So Clinton-esque,"" Brit Hume said of Hillary's email controversy. ""You never quite get the whole truth.""> #SemST",Hillary Clinton,0
"I think marriage is as it has always been, between a man and a woman. - @HillaryClinton  #MarriageEquaility #justsaying #SemST",Hillary Clinton,0
@HillaryClinton Pin the tail on the DONKEY!  That means you Hilldawg.  #BernieSanders  #Jeb2016 #Cruz2016 #Election2016  #Rubio #SemST,Hillary Clinton,0
@HillarityPress @Amedicinewoman 1.Food: #Benghazi 4 NeverAteAgain 2.Weather: #Benghazi WasFireHot 3.Pets: #Benghazi 4PetsMissThem #SemST,Hillary Clinton,0
"I'm 72 yrs old and ever since I was 6 yrs old I wanted to live long enough to see a woman President - Jim from Monticello, IA #SemST",Hillary Clinton,0
What Are We Believing in?  BELIEVE IN VICTORY. Go for  #VICTORY2016  #SemST,Hillary Clinton,0
"The federal government did not create the states, the states created the federal government. Ronald Reagan #Federalism #SemST",Hillary Clinton,0
@tracieeeeee @Irishsmiles1966 @Chloecat317 @weknowwhatsbest THINK POSITIVELY! #OiP #Cruz2016 #MakeDCListen #NoRINOs #NoLibProgs #SemST,Hillary Clinton,0
"Congratulations to our Women Soccer Team for just winning the World Cup against Japan 5-2, women rule ! #freeallfour #SemST",Hillary Clinton,0
Team USA  showed the world what American women are capable of! Is Hillary next? #WWC2015 #SemST,Hillary Clinton,0
"@HillaryClinton: Here's to fearless women chasing their goals. Congratulations, Team #USA! H #SemST",Hillary Clinton,0
@deeceejazz Do we really want to know what's under those pantsuits? Besides the black heart of evil. #SemST,Hillary Clinton,0
@HillaryClinton FUCK OFF CROTCH ROT BITCH  WE ALL KNOW WHAT YOU THINK ABOUT WOMEN AND RAPED GIRLS #HILLARYCLINTON #USA #SemST,Hillary Clinton,0
"Beware of #Kochtrolls bashing our candidates. I will not bash #Hillary. She's my plan B, for gosh sakes. #Bernie2016 #SemST",Hillary Clinton,0
"@Breaking911 Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other #SemST",Hillary Clinton,0
@nolyklibs Awww does #Killary think posing for that pic will make her look like a real human? @jlconnell66 #Benghazi #Shillary #SemST,Hillary Clinton,0
@danmericaCNN @GenGSPatton @danamericaIt looked like they were the ones tying the knots. @jlconnell66 #Killary #SemST,Hillary Clinton,0
RT @hamackey: RT @SlyDude3677: @msnbc  Republican Menu...pic.twitter.com/z4PH6VTJFl  #SemST,Hillary Clinton,2
The press needs to get out of the way so the peasants can get a glimpse of her Highness. #morningjoe  #SemST,Hillary Clinton,0
"@HillaryClinton had a duty to preserve ESI Now it's someone's duty to prosecute & sanction her Apparently ""duty"" is irrelevant #SemST",Hillary Clinton,0
@dougshelton749 @realDonaldTrump  #HRC would be an even bigger threat to America than #Obummer.   #WakeUpAmerica #SemST,Hillary Clinton,0
@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE #SemST,Hillary Clinton,0
@dougshelton749   Let's hope her campaign unravels before Dec.  We can't have this liar as next President.  #SemST,Hillary Clinton,0
"@dougshelton749  If @realDonaldTrump finds evidence, he will expose #HRC as the horrible candidate she is.  #SemST",Hillary Clinton,0
@dougshelton749 @realDonaldTrump  I'd be happy if that scandal brings her down.  There will be others...  #SemST,Hillary Clinton,0
RT @CattyHipster: Live today like it's your last day. But pay bills and dress appropriately just in case it isn't. #420 #SemST,Hillary Clinton,2
@TheJackOBrien @instapundit BOOM! I believe the 6th 'reporter' from the left has forgotten her mittens. #MediaStiffArmed #SemST,Hillary Clinton,2
"That's true, as long as one works hard, has a record of accomplishment and deserves it. @HillaryClinton NOT #SemST",Hillary Clinton,0
"AKA Depends Day ""It all depends"" and Owebama's positions make you fill your Depends. @jjauthor @weknowwhatsbest #SemST",Hillary Clinton,2
"#HillaryClinton wants to be elected (thinks she's entitled)to WORK 4 the PEOPLE, & yet, she wants nothing to do with them!#peons #SemST",Hillary Clinton,0
@WashTimes This is indefensible! One of the dumbest things I have ever seen a campaign do. Even the left was outraged by this.  #SemST,Hillary Clinton,2
@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh #SemST,Hillary Clinton,0
@tiffiwestcott  I got mine and I love it. #SemST,Hillary Clinton,2
Education should not be a debt sentence! -Former State Representative Patricia Harper  #FellowsIA #SemST,Hillary Clinton,2
Hillary Clinton is a devious & deceitful career politician. She is the Richard Nixon of our time. #SemST,Hillary Clinton,0
"HRC is a war monger, every bit as bad as any Republican in the race, and probably worse than some. #SemST",Hillary Clinton,0
It's interesting how many liberals are so brainwashed and anxious to mindlessly support a woman who isn't even liberal #SemST,Hillary Clinton,0
The young Skinheads from yesterday's Aryan Nations has grown up to become the Tea Party of today. Same exact doctrine @msnbc  #SemST,Hillary Clinton,2
"If it's been 80+ days since you've done an interview,  can we assume you're not really running for president? #SemST",Hillary Clinton,2
"@peddoc63 @Fr3333dom Seems the way we're going. Lord, I hope Bilderbergs don't pay for Hitlery like they did O. #SemST",Hillary Clinton,0
I dislike our idiots as much as I dislike theirs. #SemST,Hillary Clinton,2
Take care of your finances. Spend sensibly. Save for a rainy day. Live within your means. Resist greed. #Greece #SemST,Hillary Clinton,2
@politicalmath @BoboFromTexas doesn't matter. Nobody cares if the Clintons make mistakes as long as the checks keep coming. #SemST,Hillary Clinton,0
I don't know how well a socialist is gonna play with southern democrats. #BernieSanders #SemST,Hillary Clinton,2
"@Slate @pinkbunny70 Buh-bye, Bernie. I agree w/most of your platform, but your gun stance is unacceptable. #ENDTHENRA #SemST",Hillary Clinton,2
Barrack Obama doesn't care about his own town! Where do you live? Think he cares about you?   #TheFive #NoSanctuaryCities #2A #SemST,Hillary Clinton,2
The recent comments of #HillaryClinton sounded like it was #Netanyahu speaking. Doesn't bode well. #SemST,Hillary Clinton,0
There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama #SemST,Hillary Clinton,1
"@PantanoLaw Thanks for the follow, may God bless you and your family.  #freeallfour #SemST",Hillary Clinton,2
Dana made this shirt w/ lots of #glitter! #awesome #decoration #SemST,Hillary Clinton,2
"@Camilian1Sabel Amen to that, everybody has to pay their way, no welfare either.  #freeallfour #SemST",Hillary Clinton,2
"Wait...... you said ""BILL COSBY?""  Oh, I'm sorry, I thought you said ""BILL CLINTON!""  #uniteblue #ReadyForHillary #SemST",Hillary Clinton,1
Rhodham Hood: It takes a village to  community organize wealth redistribution Obama-style.   #SemST,Hillary Clinton,2
I just don't think we need an old white guy in the #WH - Who would his #VP be? voting for #SemST,Hillary Clinton,2
SO ANYWAYS WHAT DID HE SAY? ANYTHING ABOUT VOTING FOR ME? #OBAMA #ISIS #ISIL #SemST,Hillary Clinton,2
"WHAT IS ""THE THREAD OF VIOLIN EXTREMISM?"" #OBAMA #ISIS #ISIL #tcot #Elocution #SemST",Hillary Clinton,2
Right now every liberal in America is feeling hopeful. We have GREAT Prez candidates. #UniteBlue #FeelTheBern #SemST,Hillary Clinton,2
"@TGowdySC Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton #SemST",Hillary Clinton,1
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary #SemST,Hillary Clinton,0
@AdamSmith_USA Nice video. GOOD Luck WITH it. #SemST,Hillary Clinton,2
@HillaryClinton @HillaryforNH hope to see her in NC soon #SemST,Hillary Clinton,1
I'm going to miss the 5pm interview so I'm depending on you all to live tweet it. Haha #SemST,Hillary Clinton,2
"While I like Bernie as much as the next liberal, if we nominate him we could actually lose to some RWNJ #SemST",Hillary Clinton,2
Wondering if my Hilary 2016 sticker will affect my popularity at the shooting range... #firstdate #SemST,Hillary Clinton,1
@AdamSmith_USA because clearly @HillaryClinton is a champion for us all. #SemST,Hillary Clinton,1
